title,author,date,headline,image,url
Spanish Police: Moroccan ISIS Sympathizer Radicalized Multiple Youths,Safaa Kasraoui,"May 24, 2020","Moroccan police arrested the radicalized suspects, who were planning terror attacks in Morocco and UAE, in different operations.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Spanish-Police-Moroccan-ISIS-Sympathizer-Radicalized-Multiple-Youths.jpeg,https://www.moroccoworldnews.com/2020/05/303696/spanish-police-moroccan-isis-sympathizer-radicalized-multiple-youths/
"Morocco Wins 3 Gold Medals, Knight Order at Romania’s Euroinvent 2020",Morocco World News,"May 24, 2020",This is not the first time Moroccans have brought home prizes from the science fair.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Wins-3-Gold-Medals-Knight-Order-at-Romanias-Euroinvent-2020-681x706.jpeg,https://www.moroccoworldnews.com/2020/05/303685/morocco-wins-3-gold-medals-knight-order-at-romanias-euroinvent-2020/
PM Trudeau Applauds Strength of Muslims’ Values Amid COVID-19 Crisis,Safaa Kasraoui,"May 24, 2020",The Canadian leader has made a tradition of sharing his best wishes with the Muslim community during religious events and holidays.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/PM-Trudeau-Applauds-Strength-of-Muslims’-Values-Amid-COVID-19-Crisis-681x383.jpg,https://www.moroccoworldnews.com/2020/05/303679/pm-trudeau-applauds-strength-of-muslims-values-amid-covid-19-crisis/
King Mohammed VI Respects Social Distancing During Eid Al Fitr Prayers,Safaa Kasraoui,"May 24, 2020",The King received applause on social media for being an example to his people during the pandemic.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/King-Mohammed-VI-Respects-Social-Distancing-During-Eid-Al-Fitr-Prayers.jpg,https://www.moroccoworldnews.com/2020/05/303674/king-mohammed-vi-respects-social-distancing-during-eid-al-fitr-prayers/
"Morocco Reports 23 New COVID-19 Cases, 48 Recoveries",Safaa Kasraoui,"May 24, 2020","Approximately 134,698 suspected cases tested negative for COVID-19 since the outbreak of the pandemic in Morocco.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco-Reports-23-New-COVID-19-Cases-48-Recoveries.png,https://www.moroccoworldnews.com/2020/05/303670/morocco-reports-23-new-covid-19-cases-48-recoveries/
Moroccan Police Arrest Editor-in-Chief of Newspaper Akhbar Alyaoum,Morgan Hekking,"May 23, 2020",A young man claimed Raissouni assaulted him in 2018.,https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Slimane-Raissouni-editor-in-chief-of-the-daily-newspaper-Akhbar-Alyoum.jpg,https://www.moroccoworldnews.com/2020/05/303662/moroccan-police-arrest-editor-in-chief-of-newspaper-akhbar-alyaoum/
King Mohammed VI Pardons 483 Prisoners for Eid al-Fitr 2020,Susanna Spurgeon,"May 23, 2020","In the last pardon, King Mohammed VI gave an exceptional royal pardon to 5,654 people in light of COVID-19.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/King-Mohammed-VI-2020.jpg,https://www.moroccoworldnews.com/2020/05/303654/king-mohammed-vi-pardons-483-prisoners-for-eid-al-fitr-2020/
Morocco’s Renewable Energy Sector Maintains Momentum Amid Crisis,Zuza Nazaruk,"May 23, 2020","Although many business activities stopped during the lockdown, industry insiders are spending time on improving their skills and products. ",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Morocco’s-Renewable-Energy-Sector-Maintains-Momentum-Amid-Crisis-681x363.jpg,https://www.moroccoworldnews.com/2020/05/303645/moroccos-renewable-energy-sector-maintains-momentum-amid-crisis/
Official: Morocco to Celebrate Eid Al Fitr on Sunday,Safaa Kasraoui,"May 23, 2020","The moon sighting committee saw the crescent moon this evening, marking the beginning of the month of Shawwal.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Official-Morocco-to-Celebrate-Eid-Al-Fitr-on-Sunday-681x410.jpg,https://www.moroccoworldnews.com/2020/05/303350/official-morocco-to-celebrate-eid-al-fitr-on-sunday/
In Photos: Why You Should Go Surfing in Morocco ,Zuza Nazaruk,"May 23, 2020","The Moroccan coast attracts surfers and travelers with the beauty of its landscape, the perfectly breaking waves, and the bohemian vibes.",https://www.moroccoworldnews.com/wp-content/uploads/2020/05/Surf-hostels-usually-offer-a-package-of-lessons-and-transportation.-Here-a-hostel-bus-drove-the-surfboards-to-a-beach-outside-Taghazout-681x520.jpg,https://www.moroccoworldnews.com/2020/05/303601/in-photos-why-you-should-go-surfing-in-morocco/
